title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
Double Feature,,double-feature,double-feature,DOUBLE FEATURE,D,,,shall i tell you once again<br />i didn't change my mind<br />it changed all by itself<br />now they say that i'm unkind<br />there was nothin' i could do<br />no decision to be made<br />little by little<br />it caught me surprise<br /><br />i don't know why<br />i can't say how<br /><br />who'm i gonna be<br />what am i gonna do<br />i've been foolin' everybody<br />i've been uptown at the zoo<br />i have seen the chimpanzes<br />in the afternoon sun<br />it's quiet at the snakehouse<br />and my legs are turned to jelly<br /><br />i don't know why<br />i can't say how<br /><br />who're you gonna be<br />when you walk into my life<br />i turned so sentimental<br />cause i have no one to talk to<br />over and over<br />it's a merry go round<br />it changed all by itself<br />don't you say that i'm unkind
Dream Baby Dream,,dream-baby-dream,dream-baby-dream,DREAM BABY DREAM,D,Rev/Vega,Suicide,"dream baby dream<br />dream baby dream<br />dream baby dream<br />dream baby dream<br />forever, and ever<br /><br />keep those dreams burnin' baby<br />keep my dreams burnin'....forever<br /><br />dream baby dream<br />dream baby dream<br />forever<br /><br />dream baby dream<br />dream baby dream<br />dream baby, dream baby<br />dream baby dream<br />forever<br /><br />dream baby dream<br />come on baby you gotta keep those dreams burnin'<br />keep me in dreams<br />dream baby dream<br />dream baby,dream baby,dream baby,dream baby..............<br /><br />i will keep that flame burnin'<br />keep that flame burnin'<br />forever<br /><br />dream baby dream<br />dream baby dream<br />forever, and ever<br />forever, and ever<br /><br />yeah, hey you know those dreams keep you free baby<br />i'll make those dreams come true<br /><br />dream baby, dream baby, dream baby..........................<br />forever and ever<br />dream baby dream<br /><br />i see that smile on your face<br />yeah ????????<br />yeah, makes you free<br />i see that smile<br />huh<br /><br />dream baby dream<br />dream baby dream<br />dream baby dream<br />dream baby dream<br />forever"
Drive,,drive,drive,DRIVE,D,Ric Ocasek,The Cars,
Drunken Whistler,,drunken-whistler,drunken-whistler,DRUNKEN WHISTLER,D,,,
Duchess,,duchess,duchess,DUCHESS,D,Scott Engel,Scott Walker,
E.T.A.,,eta,eta,E.T.A.,E,,,
Early Morning,,early-morning,early-morning,EARLY MORNING,E,,,
The Earth is Blue,,the-earth-is-blue,the-earth-is-blue,EARTH IS BLUE,E,,,
East Boston Is Not An Airport,,east-boston-is-not-an-airport,,EAST BOSTON IS NOT AN AIRPORT,E,Naomi Yang,,
Egg Nog,,egg-nog,egg-nog,EGG NOG,E,,,
Emancipated Hearts,,emancipated-hearts,emancipated-hearts,EMANCIPATED HEARTS,E,Dean Wareham,,
Embers,,embers,embers,EMBERS,E,Krukowski/Yang,,
The Enabler,,the-enabler,the-enabler,ENABLER,E,,,
Eulogy to Lenny Bruce,,eulogy-to-lenny-bruce,eulogy-to-lenny-bruce,EULOGY TO LENNY BRUCE,E,Tim Hardin,Nico,
Everybody's Talkin',,everybodys-talkin,everybody-s-talkin,EVERYBODY'S TALKIN',E,Fred Neil,"Neil, Fred","Everybody's talkin' at me.<br />I don't hear a word they're sayin',<br />Only the echoes of my mind.<br /><br />People stoppin' starin'<br />I can't see the faces,<br />Only the shadows of their eyes.<br /><br />I'm goin' where the sun keeps shinin'<br />Thru the pourin' rain,<br />Goin' where the weather suits my clothes.<br /><br />Bankin' off the northeast wind,<br />Sailin' on a summer breeze,<br />Skippin' over the ocean like a stone.<br /><br />Everybody's talkin' at me.<br />I don't hear a word they're sayin',<br />Only the echoes of my mind.<br /><br />And I won't let you leave my love behind."
Eye Of The Storm,,eye-of-the-storm,eye-of-the-storm,EYE OF THE STORM,E,,,
Eyes In My Smoke,,eyes-in-my-smoke,eyes-in-my-smoke,EYES IN MY SMOKE,E,,,
Fallin' In Love,,fallin-in-love,fallin-in-love,FALLIN IN LOVE,F,Dennis Wilson,The Beach Boys,
Falling Out Of Love With You,,falling-out-of-love-with-you,falling-out-of-love-with-you,FALLING OUT OF LOVE WITH YOU,F,Stephin Merritt,The Sixths,
Family Conference,,family-conference,family-conference,FAMILY CONFERENCE,F,,,
Femme Fatale,,femme-fatale,femme-fatale,FEMME FATALE,F,Reed/Cale/Morrison/Tucker,The Velvet Underground,
Final Day,,final-day,final-day,FINAL DAY,F,Moxham,"Young Marble Giants, The",When the rich die last<br />Like the rabbits<br />Running from a lucky past<br />Full of shadow cunning<br />And the world lights up<br />For the final day<br />We will all be poor<br />Having had our say<br />Put a blanket up on the window pane<br />When the baby cries lullaby again<br />As the light goes out on the final day<br />For the people who never had a say<br /><br />There is so much noise<br />There is too much heat<br />And the living floor<br />throws you off your feet<br />As the final day falls into the night<br />There is peace outside<br />in the narrow light
Fire in Cairo,,fire-in-cairo,fire-in-cairo,FIRE IN CAIRO,F,Smith/Tolhurst/Dempsey,The Cure,
Flowers,,flowers,flowers,FLOWERS,F,Krukowski/Wareham/Yang,,"I can never calm you down<br />And I can never turn you around<br />I could never bring you flowers<br />I could never turn you around<br /><br />I can't be there when you're sleeping<br />I can't be inside your dreams<br />And I can't be there when you're sleeping<br />And I can't be inside your dreams<br />Oh yeah, oh yeah<br /><br />Staring at the kitchen sink<br />Feeling a plastic mood<br />Feel like things have gotta change<br />Cause baby you're a lunatic"
Fly Into The Mystery,,fly-into-the-mystery,fly-into-the-mystery,FLY INTO THE MYSTERY,F,Jonathan Richman,Jonathan Richman,
For The Sake Of The Children,,for-the-sake-of-the-children,for-the-sake-of-the-children,FOR THE SAKE OF THE CHILDREN,F,Baskin/Relcheg,Henry Gibson,
Forever,,forever,forever,FOREVER,F,Dennis Wilson,The Beach Boys,If every word I said<br />Could make you laugh<br />I'd talk forever (together my love)<br />I ask the sky just what we had<br />Mmm It shone forever<br />(together my love my my my my my my my my my my my my my)<br />If the song I sing to you<br />Could fill your heart with joy<br />I'd sing forever (together my love my my my my)<br />Forever<br />Forever<br />I've been so happy loving you<br /><br />Do do do do do do do do do together my love<br /><br />Let the love I have for you<br />Live in your heart<br />And beat forever (together my love)<br />Forever<br />Forever<br />I've been so happy loving you<br /><br />Baby just let me sing it my baby<br />I wanna be singin' my baby<br />Baby baby baby my baby<br />I wanna be singin'<br />I wanna be singin' my baby<br />Oh oh oh oh<br />My my my my my my<br /><br />So I'm goin' away<br />Mmm but not forever<br />Na na na na<br />I gotta love you anyway<br /><br />Forever
Forgot To Get High,,forgot-to-get-high,forgot-to-get-high,FORGOT TO GET HIGH,F,,,
Four Thousand Days,,four-thousand-days,four-thousand-days,FOUR THOUSAND DAYS,F,,,Well raise my rent...turn the clocks back<br />How I wish it could last forever<br />Flies the size of cigarette packs<br />I tried to pay with camel bucks<br />Remember remember<br />I'm sticking to my story<br />Remember remember<br />It's all that I have left<br /><br />Darlin' lady listeners<br />My friends all make me sick<br />Listeners of the future<br />Come on and help me quick<br />Do you remember stumbling home?<br />Do you remember dancing alone?<br /><br />Four thousand days<br />I'm sticking to my story<br />Four thousand days<br />It's all that I have left<br />I got patches on my eyes<br />Got pillows on my head<br />Singing chacha 2000<br />I need to get to bed
14 Auspicious Dreams,,14-auspicious-dreams,14-auspicious-dreams,FOURTEEN AUSPICIOUS DREAMS,F,Yang / Hopper,,
Fourth of July,,fourth-of-july,fourth-of-july,FOURTH OF JULY,F,Krukowski/Wareham/Yang,,I wrote a poem on a dog biscuit<br />And your dog refused to look at it<br />So I got drunk and looked at the Empire State Building<br />It was no bigger than a nickel<br /><br />And if it don't improve<br />Then I have to move<br />I never thought that I would end up here<br />Maybe I should just change my style<br />But I feel alright when you smile<br /><br />I stayed at home on the Fourth of July<br />And I pulled the shades so I didn't have to see the sky<br />I decided to have a Bed In<br />But I forgot to invite anybody<br /><br />And when I fell asleep<br />The neighbours had a peep<br />I never thought that I would end up here<br />Maybe I should just change my style<br />But I feel all right when you smile
Freakin' and Peakin',,freakin-and-peakin,freakin-and-peakin,FREAKIN' AND PEAKIN',F,,,give me an answer<br />wrap it up<br />up to the top and back<br />freakin' and peakin'<br />loosin' touch<br />can't tell the wrong from wright<br /><br />out on the streets<br />sugar in the streets<br />thinkin' we'd talk without speakin'<br />she was pointing at me<br />but i was pointing at you<br />can't tell the wrong from wright<br /><br />gotta keep movin'<br />movin' on<br />before it gets too much<br />she was pointing at me<br />but i was pointing at you<br />can't tell the wrong from wright
Friendly Advice,,friendly-advice,friendly-advice,FRIENDLY ADVICE,F,,,cover my face with roses<br />cover me head to toe<br />i had to be drunk<br />just to look at your face<br />that was all right by me<br /><br />how long will this go....<br />how long will this go....<br />how long will this go on<br /><br />cover my face with roses<br />cover me head to toe<br />you wanted to give me<br />some friendly advice<br />that was alright by me<br /><br />how long will this go....<br />how long will this go....<br />how long will this go on<br /><br />cover my face with roses<br />cover me head to toe<br />they're throwin' a party<br />and you're not invited<br />that was alright by me<br /><br />how long will this go....<br />how long will this go....<br />how long will this go on
Friends,,friends,friends,FRIENDS,F,Doug Yule,The Velvet Underground,
Fuzzy Wuzzy,,fuzzy-wuzzy,fuzzy-wuzzy,FUZZY WUZZY,F,,,Loose joints loose joints <br />Symphonic vaseline <br />Loose joints loose joints <br />Say exactly what you mean <br />Daddy run through the forest <br />See the goblins all around <br />Daddy run through the forest <br />Daddy doesn't make a sound <br /><br />Sexy long sweater dresses <br />Chocolate knee high leather boots <br />Maybe tonight will be the night <br />I could see your fuzzy wuzzy <br />Say goodbye to the frogs <br />Say goodbye to the lake <br />Say goodbye to the chitchat <br />Everything's falling into place
The Gift,,the-gift,the-gift,GIFT,G,Krukowski/Yang,,
Gin,,gin,gin,GIN,G,Willie Loco Alexander,Willie Loco Alexander,
Ginger Snaps,,ginger-snaps,ginger-snaps,GINGER SNAPS,G,,,When the cowboy sings<br />When the Saturn rings<br />When the ginger snaps<br />When the thunder claps<br /><br />You can cut my hair<br />You can fill my cup<br />You can tell me lies<br />You can make it up<br />We're gonna make it after all<br /><br />I don't need to know who's right or wrong<br />It's not a crime to change your mind<br /><br />When the kitchen sinks<br />When the sugar winks<br />When the doctor calls<br />When Niagara falls<br /><br />I'm a wayward Tom<br />I'm a silver streak<br />And the walls have ears<br />But the walls don't speak<br />We're gonna make it after all<br /><br />I don't need to know who's right or wrong<br />It's not a crime to change your mind<br /><br />Don't need to know<br />Don't need to know........
Going Home,,going-home,going-home,GOING HOME,G,,,"i've seen her face<br />in those scented magazines<br /><br />all is forgivin'<br />i love her still<br />and we're home, home<br />goin' home<br /><br />the chrysler building<br />was talkin' to the empire state<br />the twin towers<br />were talkin' to each other<br />sayin' all is forgivin'<br />i love you still<br />and we're home, home<br />goin' home<br /><br />what she saw in him<br />nobody knew<br />it's a mystery<br />what she saw in him<br />nobody could tell<br />now it's history<br /><br />all is forgivin'<br />i love her still<br />and we're home, home<br />goin' home<br />and we're home, home<br />goin' home"
Goodbye,,goodbye,goodbye,GOODBYE,G,,,Goodbye baby<br />Bye bye honey<br />Goodbye baby<br />Bye bye<br /><br />Three years in this town<br />And I want to leave town<br />The clubs have all shut down<br />And I have been dressed down<br /><br />Goodbye baby<br />Bye bye honey<br />Goodbye baby<br />Bye bye<br /><br />I'm leavin tonight<br />And I'm drivin all night<br />You know I been thinkin<br />The city is shrinkin
Along The Santa Fe Trail,,along-the-santa-fe-trail,along-the-santa-fe-trail,GRAND CANYON,G,Dubin / Coolidge / Grosz,,
Grand Canyon,,grand-canyon,grand-canyon,GRAND CANYON,G,Stephin Merritt,The Magnetic Fields,
Great Jones Street,,great-jones-street,great-jones-street,GREAT JONES STREET,G,,,up on the roof<br />it's almost dawn<br />see the water towers<br />look so forlorn<br />they've got no reason<br />to feel that way<br /><br />night turn to day<br />let's get away<br />it's another day<br /><br />let's get away<br />it's another day<br /><br />we'll go somewhere<br />we've never been<br />time's runnin' out<br />we'll start again<br />what's round the bend<br />i just can't say<br /><br />night turn to day<br />let's get away<br />it's another day<br /><br />let's get away<br />it's another day
The Great Wall,,the-great-wall,the-great-wall,GREAT WALL,G,,,
Greensboro Woman,,greensboro-woman,greensboro-woman,GREENSBORO WOMAN,G,Townes Van Zandt,,
Greyhound Goin' Somewhere,,greyhound-goin-somewhere,greyhound-goin-somewhere,GREYHOUND GOIN' SOMEWHERE,G,Murphy/Dorsey,Bobbie Gentry,
GTX3,,gtx3,gtx3,GTX3,G,,,
Happy and Free,,happy-and-free,happy-and-free,HAPPY AND FREE,H,Dean Wareham,,
Happy New Year,,happy-new-year,happy-new-year,HAPPY NEW YEAR,H,Eugene Chadbourne,Shockabilly,"to those who say have a happy new year<br />i have no fears<br />cause we're all one<br />in my heart we are at peace<br />happy new year<br />we're all glad, there's none that's sad<br /><br />and on the first day of our brand new year<br />i slept and slept<br />and in my dreams<br />giant turtles roamed the sky<br />happy new year<br />for me and my girls<br /><br />the first one took such a long time<br />she asked me why<br />i told her no<br />then she told me i should go<br />but i loved her so i stayed on through the years<br /><br />the next one was faster than breeze<br />i won't forget<br />cause evey breath<br />every twinkle in her eye is part of you<br />happy new year<br /><br />to those who say have a happy new year<br />i have no fears<br />cause we're all one<br />in my heart we are at peace<br />happy new year<br />we're all glad, there's none that's sad<br />happy new year<br />we're all glad, there's none that's sad<br />happy new year<br />we're all glad, there's none that's sad<br />happy new year<br />we're all glad, there's none that's sad<br />happy new year<br />we're all glad, there's none that's sad"
Hard Life,,hard-life,hard-life,HARD LIFE,H,,,
He Dines Out on Death,,he-dines-out-on-death,he-dines-out-on-death,HE DINES OUT,H,Brierley / Cristina,Cristina,
He's Coming Home,,hes-coming-home,he-s-coming-home,HE'S COMING HOME,H,,The Wailers,
Heads Down,,heads-down,heads-down,HEADS DOWN,H,,,
Hear The Wind Blow,,hear-the-wind-blow,hear-the-wind-blow,HEAR THE WIND BLOW,H,Roback/Smith,Opal,Hear The Wind Blow<br /><br />Sometimes you feel<br />you've traveled the whole wide world<br />And sometimes it seems<br />you haven't gone so very far<br /><br />I know you're tired and your shoes are filled with sand<br />But I'll take you anywhere you want to go<br /><br />I'll give you the wind<br /> to take you to the oceanside<br />Once he was an orphan boy<br />Now he's not so alone<br /><br />Nighttime is all we have the hours move so slowly now<br />And I'll take you anywhere you want to go<br /><br />Hear the wind blow<br />Blow through every tree<br />Inside every house<br />If you're listening<br /><br />And if you're tired<br />And you're weary<br />Rest your sleepy head<br />Here beside me
Hearing Voices,,hearing-voices,hearing-voices,HEARING VOICES,H,Krukowski/Wareham/Yang,,Your lips ain't movin<br />Your body still<br />But voices are talkin somewhere<br />I hear a jukebox<br />French fries and beer<br />And people are talkin somewhere<br /><br />And I know there's no one home<br />But I won't put down the phone<br />I can't think where I should be<br /><br />I searched the kitchen<br />Put my ear to the wall<br />I looked in the freezer again<br />Sometimes a notion<br />Swells like the ocean<br />Then I can't think where I should be<br /><br />And I know there's no one home<br />But I won't put down the phone<br />I can't think where I should be
Heartless People,,heartless-people,heartless-people,HEARTLESS PEOPLE,H,Michael Holland,,
Hedgehog,,hedgehog,hedgehog,HEDGEHOG,H,,,"it's no fun, it's no fun<br />reading fortune cookies to yoursself<br />are you a fox or a hedgehog<br />do you care anymore<br /><br />wastin' time, wastin' time<br />wastin' time all the while<br />i don't know what you're sayin'<br />but i hate it anyway<br /><br />a celebrity friendship<br />and another fashion victem<br />he's annoying, she's a liar<br />i don't know how she picked him<br /><br />wastin' time, wastin' time<br />wastin' time all the while<br />i don't know what you're sayin'<br />but i hate it anyway<br /><br />can you make time for me<br />would you make time for me?<br />i will wait patiently<br />it's no good<br />it's no fun"
Hello Little One,,hello-little-one,hello-little-one,HELLO LITTLE ONE,H,,,"Hello, little one<br />And what can I say?<br />That you are not an angel<br />And I am not a saint<br />Wastin' all my money<br />On small town trinkets<br />I lost my silver spoon<br />And I won't be coming home<br />Carry on<br />Carry, carry on<br />I wonder who it is<br />Whisperin' in your ear<br />Hush hush little one<br />Let me Back in Your Life<br />Take me to the morning<br />Pretending that I got it made<br />Cool lips to the bottle<br />To hell with everyone"
Helsinki,,helsinki,helsinki,HELSINKI,H,Krukowski/Yang,,
Here She Comes Now,,here-she-comes-now,here-she-comes-now,HERE SHE COMES NOW,H,Velvet Underground,"Velvet Underground, The","Now, if she ever comes now now<br />If she ever comes now now<br />If she ever comes now now<br />Now, if she ever comes now now<br />If she ever comes now now<br />If she ever comes now now<br /><br />Oh, she looks so good<br />And oh, she's made out of wood<br />Just look and see<br />She's made out of wood<br />Just look and see now now now<br />Made out of wood now"
Herringbone Tweed,,herringbone-tweed,herringbone-tweed,HERRINGBONE,H,,,
Hey Paula,,hey-paula,hey-paula,HEY PAULA,H,Ray Hildebrand,Paul and Paula,"Hey, hey Paula, I wanna marry you<br />Hey, hey Paula, no one else will ever do<br />I've waited so long for school to be through<br />Paula, I can't wait no more for you<br />My love, my love<br />Hey Paul, I've been waiting for you<br />Hey, hey, hey Paul, I want to marry you too<br />If you love me true, if you love me still<br />Our love will always be real<br />My love, my love<br />True love means planning a life for two<br />Being together the whole day through<br />True love means waiting and hoping that soon<br />Wishes we've made will come true<br />My love, my love<br />"
Hey Sister,,hey-sister,hey-sister,HEY SISTER,H,,,"Hey sister, hey sister<br />Things move all alone<br />You know that I<br />Can't stand what you do<br />And it won't be too long<br /><br />Hey soldier, hey soldier<br />Things die on their own<br />You know that I<br />Can't stand what you do<br />And it won't be too long<br /><br />And I'm sure that it won't be too long<br />And I'm tired of pretending I'm wrong"
Hey You,,hey-you,hey-you,HEY YOU,H,Roger Waters,Pink Floyd,"Hey you,<br />Out there in the cold,<br />Getting lonely, getting old,<br />Can you feel me?<br />Hey you,<br />Standing in the aisle,<br />With itchy feet and fading smile,<br />Can you feel me?<br />Hey you,<br />Don't help them to bury the light.<br />Don't give in without a fight.<br /><br />Hey you,<br />Out there on your own,<br />Sitting naked by the phone,<br />Would you touch me?<br />Hey you,<br />With your ear against the wall,<br />Waiting for someone to call out,<br />Would you touch me?<br />Hey you,<br />Would you help me to carry the stone?<br />Open your heart, I'm coming home.<br /><br />But it was only fantasy.<br />The wall was too high, as you can see.<br />No matter how he tried he could not break free.<br />And the worms ate into his brain.<br /><br />Hey you,<br />Out there on the road,<br />Always doing what you're told,<br />Can you help me?<br />Hey you,<br />Out there beyond the wall,<br />Breaking bottles in the hall,<br />Can you help me?<br />Hey you,<br />Don't tell me there's no hope at all.<br />Together we stand, divided we fall."
Hold on (John),,hold-on-john,hold-on-john,HOLD ON (JOHN),H,John Lennon,John Lennon,
Holding Pattern,,holding-pattern,holding-pattern,HOLDING PATTERN,H,Dean Wareham,,
Homeward Bound,,homeward-bound,homeward-bound,HOMEWARD BOUND,H,Paul Simon,Scott Walker,
Hooks and Ladders,,hooks-and-ladders,hooks-and-ladders,HOOKS AND LADDERS,H,Wareham/Phillips,,
House of Glass,,house-of-glass,house-of-glass,HOUSE OF GLASS,H,,,
How Do I Say Goodbye,,how-do-i-say-goodbye,how-do-i-say-goodbye,HOW DO I,H,Krukowski/Yang,,
How I Came to Photograph Clouds,,how-i-came-to-photograph-clouds,how-i-came-to-photograph-clouds,HOW I CAME TO PHOTO,H,Krukowski/Yang,,
How I Started Boxing,,how-i-started-boxing,,HOW I STARTED BOXING,H,Naomi Yang,,
How Long,,how-long,how-long,HOW LONG,H,,,
How You Satisfy Me,,how-you-satisfy-me,how-you-satisfy-me,HOW YOU SATISFY ME,H,Spectrum,Spectrum,
Hurt House,,hurt-house,hurt-house,HURT HOUSE,H,Krukowski/Yang,,
I Can Only Give My All,,i-can-only-give-my-all,i-can-only-give-my-all,I CAN ONLY GIVE MY ALL,I,Dean Wareham,,
I Can't Believe It's Me,,i-cant-believe-its-me,i-can-t-believe-it-s-me,I CAN'T BELIEVE IT'S ME,I,Krukowski/Wareham/Yang,,
I Can't Wait,,i-cant-wait,i-can-t-wait,I CAN'T WAIT,I,,,"Maybe I was bad as the ones I hate<br />Maybe I was dumb, but I can't wait<br />Maybe what you said is not so cool<br />Maybe what you did is just too cruel<br /><br />I can't tell what it takes<br />I can't wait for today<br /><br />Scary lookin guys walk down my street<br />Scary lookin suits I don't wanna meet<br />Maybe I was bad as the ones I hate<br />Maybe I was dumb, but I can't wait<br /><br />I can't tell what it takes<br />I can't wait for today<br /><br />I can't tell what it takes<br />I can't tell what it takes<br />I can't wait for today<br />I can't wait for today"
I Deserve It,,i-deserve-it,i-deserve-it,I DESERVE IT,I,Madonna/Armadzai,Madonna,"This girl was meant for me<br />And I was meant for her<br />This girl was dreamt for me<br />And I was dreamt for her<br /><br />This girl has danced for me<br />And I have danced for her<br />This girl has cried for me<br />And I have cried for her<br /><br />Many miles, many roads I have traveled<br />Fallen down on the way<br />Many hearts, many years have unraveled<br />Leading up to today<br /><br />This girl has prayed for me<br />And I have prayed for her<br />This girl was made for me<br />And I was made for her<br /><br />Many miles, many roads I have traveled<br />Fallen down on the way<br />Many hearts, many years have unraveled<br />Leading up to today<br /><br />I have no regrets<br />There's nothing to forget<br />All the pain was worth it<br /><br />Not running from the past<br />I tried to do what's best<br />I know that I deserve it<br /><br />Many miles, many roads I have traveled<br />Fallen down on the way<br />Many hearts, many years have unraveled<br />Leading up to today"
I Dreamed of the Caucasus,,i-dreamed-of-the-caucasus,i-dreamed-of-the-caucasus,I DREAMED OF THE CAUCASUS,I,,,
I Found It Not So,,i-found-it-not-so,i-found-it-not-so,I FOUND IT NOT SO,I,Cheval Sombre,,
I Had A Thought,,i-had-a-thought,i-had-a-thought,I HAD A THOUGHT,I,,,
I Know You Tried,,i-know-you-tried,i-know-you-tried,I KNOW YOU TRIED,I,,,"i went to your street<br />at seven in the mornin'<br />and while you were asleep<br />i read your newspaper<br />i saw you out walkin'<br />out walkin' with your father<br />pretendin' not to see me<br />pretendin' to be a family<br /><br />i know you tried, baby<br />i know you tried<br />i know you tried to go on<br /><br />saw a metal object<br />lyin' in the street<br />and when we turned away<br />it stood itself up<br />you circled the island<br />in a chevy caprice<br />you stuck out your tongue<br />and your nose began to bleed<br /><br />i know you tried, baby<br />i know you tried<br />i know you tried to go on<br /><br />i know you tried, baby<br />i know you tried<br />i know you tried to go on"
I Never Knew I Always Knew,,i-never-knew-i-always-knew,i-never-knew-i-always-knew,I NEVER KNEW I ALWAYS KNEW,I,Krukowski/Yang,,
I Saw The World/Another Time,,i-saw-the-worldanother-time,i-saw-the-worldanother-time,I SAW THE WORLD/ANOTHER TIME,I,Tom Rapp,Pearls Before Swine,
I Shall Be Released,,i-shall-be-released,i-shall-be-released,I SHALL BE RELEASED,I,Bob Dylan,Bob Dylan,"They say ev'rything can be replaced,<br />Yet ev'ry distance is not near.<br />So I remember ev'ry face<br />Of ev'ry man who put me here.<br />I see my light come shining<br />From the west unto the east.<br />Any day now, any day now,<br />I shall be released.<br /><br />They say ev'ry man needs protection,<br />They say ev'ry man must fall.<br />Yet I swear I see my reflection<br />Some place so high above this wall.<br />I see my light come shining<br />From the west unto the east.<br />Any day now, any day now,<br />I shall be released.<br /><br />Standing next to me in this lonely crowd,<br />Is a man who swears he's not to blame.<br />All day long I hear him shout so loud,<br />Crying out that he was framed.<br />I see my light come shining<br />From the west unto the east.<br />Any day now, any day now,<br />I shall be released."
I Wanna Live,,i-wanna-live,i-wanna-live,I WANNA LIVE,I,,,
I Want Everything,,i-want-everything,i-want-everything,I WANT EVERYTHING,I,,,"Hey girl, sweet thing<br />I want everything<br />You love me too<br />And I want you<br /><br />Well I think I'm gonna<br />Jump right through your window<br />And I think I'm gonna<br />Jump into your life<br /><br />Cause you got me in a bad situation<br />And I want you<br /><br />Well the TV says that<br />Love is all around us<br />And the astronauts<br />Can feel it far away<br /><br />But it's got me in a bad situation<br />And I want you<br /><br />Yeah I think I'm gonna<br />Take a short vacation<br />And I think we're gonna<br />Have to start anew<br /><br />Cause you got me in a bad situation<br />And I want you"
I'll Keep It With Mine,,ill-keep-it-with-mine,i-ll-keep-it-with-mine,I'LL KEEP IT,I,Bob Dylan,Nico,
I'm Not Sayin',,im-not-sayin,i-m-not-sayin,I'M NOT SAYIN',I,Lightfoot,Gordon Lightfoot,
I'm So Bored With The U. S. A.,,im-so-bored-with-the-u-s-a,i-m-so-bored-with-the-u-s-a,I'M SO BORED,I,Strummer / Jones,The Clash,
I'm Yours,,im-yours,i-m-yours,I'M YOURS,I,,,
Ides Of March Of The Trolls,,ides-of-march-of-the-trolls,ides-of-march-of-the-trolls,IDES OF MARCH OF THE TROLLS,I,,,
If I Could Only Fly,,if-i-could-only-fly,if-i-could-only-fly,IF I COULD ONLY FLY,I,D. M. Fuller,,
IHOP,,ihop,ihop,IHOP,I,,,"Is there a doctor in the house?<br />In the house of pancakes?<br />You got a banana split <br />Personality <br />Lately it's been happy house <br />All day long <br />Sip it slowly and leave the olive <br />She is very fond of you <br /><br />You stand accused <br />Of smoking english cigarettes <br />That's a provocation <br />If ever one was <br />Brother number 1 <br />Brother number 2 <br />Why are you fighting?<br />What are you gonna do?<br /><br />And at the weekly meeting <br />Of anonymous cads <br />You shuffle your feet <br />And whistle out aloud <br />Listen to what they're saying <br />What a load of crap <br />You ain't no Cary Grant <br />But then again, who is?"
In the Flesh,,in-the-flesh,in-the-flesh,IN THE FLESH,I,Harry/Stein,Blondie,"Darlin' darlin' darlin'<br />I can't wait to see you<br />Your picture ain't enough<br />I can't wait to touch you in the flesh<br /><br />Darlin' darlin' darlin'<br />I can't wait to hear you<br />Remembering your love<br />Is nothing without you in the flesh<br /><br />Went walking one day on the lower East side<br />Met you with a girlfriend, you were so divine<br />She said, &quot;Hands off this one sweetie, this boy is mine.&quot;<br />I couldn't resist you - I'm not deaf, dumb, and blind<br /><br />Darlin' darlin' darlin'<br />Now you're out of town<br />Those girls that you run with<br />They bring my head down<br /><br />Ooh Darlin' darlin'<br />Watch out if I see you<br />'Cause if you say hello<br />It'll mean you wanna see me in the flesh<br /><br />Ooh warm and soft, in the flesh<br />Ooh close and hot, in the flesh<br />Ooh<br />"
In The Morning,,in-the-morning,in-the-morning,IN THE MORNING,I,,,
In The Sun,,in-the-sun,in-the-sun,IN THE SUN,I,,,
Incandescent Innocent,,incandescent-innocent,incandescent-innocent,INCANDESCENT INNOCENT,I,,,
Indian Summer,The Doors,indian-summer-the-doors,indian-summer-doors,INDIAN SUMMER,I,Morrison/Krieger,Doors,"I love you, the best <br />Better than all the rest <br />I love you, the best <br />Better than all the rest <br />That I meet in the summer <br />Indian summer <br />That I meet in the summer <br />Indian summer <br />I love you, the best <br />Better than all the rest"
Indian Summer,,indian-summer,indian-summer,INDIAN SUMMER,I,Beat Happening,Beat Happening,"Breakfast in cemetery<br />Boy tastin wild cherry<br />Touch girl, apple blossom<br />Just a boy playin possum<br /><br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />And go our seperate ways<br /><br />What is that cheerful sound?<br />Rain fallin on the ground<br />We'll wear a jolly crown<br />Buckle up, we're wayward bound<br /><br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />And go our seperate ways<br /><br />Motorbike to cemetery<br />Picnic on wild berries<br />French toast with molasses<br />Croquet and Baked Alaskas<br /><br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />We'll come back for Indian Summer<br />And go our seperate ways<br /><br />Cover me with rain<br />Walk me down the lane<br />I'll drink from your drain<br />We will never change<br />No matter what they say"
Information Age,,information-age,information-age,INFORMATION AGE,I,,,
Ingrid Superstar,,ingrid-superstar,ingrid-superstar,INGRID SUPERSTAR,I,Britta Phillips,Britta Phillips,
Inside Your Heart,,inside-your-heart,inside-your-heart,INSIDE YOUR HEART,I,The Monochrome Set,The Monochrome Set,
Instrumental,,instrumental,instrumental,INSTRUMENTAL,I,Krukowski/Wareham/Yang,,
International Velvet Theme,,international-velvet-theme,international-velvet-theme,INTERNATIONAL VELVET,I,,,
